Zip.Code,Population,Growth.Rate,Med.HH.Inc,Avg.HH.Inc,Med.Age,Households,HH.Size,Health.Insurance,HS.Diploma,Bachelor.Degree,Grad.Degree,Businesses,Diversity.Index,Dental.Services,Management,Finance,Computer,Engineering,Social.Science,Community.Service,Legal,Education,Arts,Healthcare,Healthcare.Support,Protective.Service,Food.Prep,Maintenance,Personal.Care,Sales,Office.Admin,Farming,Construction,Repair,Production,Transportation
84749 (Lyman),313.00,0.00,46990.00,60856.00,30.10,102.00,3.05,276755.00,36.00,22.00,14.00,7.00,22.40,27694.00,22.00,7.00,0.00,1.00,1.00,3.00,0.00,14.00,2.00,9.00,4.00,1.00,12.00,6.00,2.00,13.00,34.00,3.00,21.00,4.00,8.00,15.00
84716 (Boulder),298.00,0.00,47495.00,60010.00,47.30,132.00,2.26,376357.00,54.00,42.00,19.00,14.00,16.10,41277.00,29.00,5.00,0.00,0.00,1.00,0.00,0.00,7.00,3.00,3.00,0.00,2.00,11.00,8.00,4.00,12.00,28.00,5.00,10.00,16.00,6.00,4.00
84737 (Hurricane),20674.00,0.03,51256.00,63801.00,30.60,6150.00,3.25,18606704.00,3216.00,1854.00,892.00,610.00,26.30,1840209.00,531.00,91.00,123.00,98.00,48.00,254.00,17.00,464.00,154.00,352.00,178.00,129.00,342.00,263.00,272.00,779.00,791.00,71.00,511.00,172.00,378.00,583.00
84719 (Brian Head),92.00,0.00,43924.00,60070.00,51.90,44.00,2.09,143889.00,3.00,13.00,8.00,32.00,28.50,13247.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,7.00,4.00,0.00,0.00,10.00,0.00,1.00
84720 (Cedar City),21218.00,0.01,42498.00,54620.00,26.60,7052.00,2.93,16413755.00,2165.00,2495.00,1288.00,929.00,28.30,1665246.00,791.00,387.00,142.00,32.00,9.00,104.00,18.00,1323.00,194.00,335.00,136.00,167.00,586.00,515.00,243.00,1040.00,1097.00,154.00,412.00,352.00,346.00,577.00
84721 (Cedar City),22193.00,0.01,40392.00,54532.00,28.00,6804.00,3.23,16170364.00,2656.00,2197.00,1143.00,770.00,37.50,1634109.00,679.00,340.00,46.00,50.00,32.00,55.00,8.00,683.00,173.00,594.00,268.00,219.00,704.00,542.00,174.00,863.00,1232.00,249.00,385.00,346.00,468.00,689.00
84722 (Central),1049.00,0.02,52245.00,60161.00,43.70,382.00,2.75,1156905.00,177.00,102.00,52.00,10.00,18.80,109695.00,41.00,10.00,6.00,0.00,0.00,4.00,4.00,22.00,3.00,29.00,3.00,7.00,11.00,11.00,30.00,60.00,25.00,12.00,33.00,12.00,38.00,29.00
84723 (Circleville),544.00,0.00,32217.00,48186.00,38.60,190.00,2.86,488977.00,140.00,40.00,3.00,30.00,39.80,42370.00,29.00,13.00,0.00,0.00,0.00,3.00,0.00,16.00,0.00,9.00,3.00,8.00,17.00,8.00,3.00,17.00,27.00,10.00,10.00,1.00,5.00,13.00
84724 (Elsinore),1315.00,0.00,41045.00,51699.00,34.50,465.00,2.82,1200236.00,233.00,98.00,17.00,25.00,24.40,108726.00,26.00,16.00,0.00,8.00,3.00,5.00,0.00,9.00,0.00,23.00,11.00,19.00,47.00,13.00,7.00,41.00,70.00,73.00,76.00,17.00,31.00,37.00
84725 (Enterprise),1790.00,0.02,45620.00,60683.00,29.30,503.00,3.56,1357260.00,244.00,107.00,92.00,56.00,27.50,135249.00,38.00,22.00,1.00,0.00,0.00,3.00,16.00,72.00,12.00,17.00,9.00,25.00,32.00,26.00,12.00,54.00,47.00,43.00,44.00,44.00,44.00,40.00
84726 (Escalante),995.00,0.00,46947.00,60171.00,47.20,403.00,2.47,1152114.00,180.00,140.00,64.00,87.00,17.50,126361.00,94.00,18.00,0.00,0.00,4.00,0.00,0.00,25.00,11.00,11.00,0.00,7.00,39.00,26.00,15.00,42.00,88.00,18.00,34.00,51.00,20.00,12.00
